"site","date","flux"
"X11",2015-12-03,103.349623284
"X11",2015-12-06,48.553346826
"X11",2015-12-10,144.069806328
"X11",2015-12-13,38.258153344
"X12",2011-02-07,10.335833333
"X12",2011-03-07,380.769156498
"X12",2011-03-10,92.853642292
"X12",2011-03-15,114.225939626
"X12",2011-05-25,57.121275982
"X12",2012-03-01,14.405612792
"X12",2012-03-06,59.501444137
"X12",2012-04-01,25.874708018
"X12",2012-05-14,22.365568694
"X12",2013-02-23,11.231960115
"X12",2013-02-25,10.754395172
"X12",2013-04-14,79.841871422
"X12",2013-06-10,28.14797293
"X12",2013-08-20,15.051427304
"X12",2013-09-21,40.528268364
"X12",2013-10-27,31.278767831
"X12",2014-03-17,13.018872303
"X12",2014-03-29,31.345312137
"X12",2014-06-10,13.531444364
"X12",2014-07-10,12.944962268
"X12",2014-09-25,11.897839918
"X12",2014-11-22,14.249028576
"X12",2014-12-10,13.277525474
"X12",2014-12-11,42.815020672
"X12",2015-02-06,118.842464564
"X12",2015-04-14,269.292683704
"X12",2015-07-16,17.506775266
"X12",2015-08-07,50.756756308
"X12",2015-11-24,115.714340352
"X12",2015-12-03,97.912285691
"X12",2015-12-06,45.998901726
"X12",2015-12-10,136.490135019
"X12",2015-12-13,36.24534973
"X13",2011-02-15,136.969601085
"X13",2011-02-16,65.057386504
"X13",2011-03-10,283.889985284
"X13",2011-03-15,112.82255495
"X13",2011-03-18,16.276688144
"X13",2011-04-20,49.119614627
"X13",2011-04-21,11.484350936
"X13",2011-04-25,180.567406521
"X13",2011-04-28,73.349507025
"X13",2011-05-14,50.890007295
"X13",2011-05-15,78.46065274
"X13",2011-05-25,1093.21765819
"X13",2011-05-28,235.142606496
"X13",2011-05-30,34.716900744
"X13",2011-05-31,763.47548783
"X13",2011-06-01,402.595238775
"X13",2011-06-28,279.725635611
"X13",2011-07-30,21.782061889
"X13",2011-09-30,40.669209436
"X13",2011-10-01,12.561152438
"X13",2011-10-03,125.576535114
"X13",2011-11-03,363.333333334
"X13",2011-11-18,277.878226444
"X13",2011-11-30,22.185003696
"X13",2011-12-01,30.540991366
"X13",2012-01-15,163.033924257
"X13",2012-01-19,160.33243976
"X13",2012-01-20,63.531463097
"X13",2012-02-29,88.912429945
"X13",2012-03-01,63.38783389
"X13",2012-03-06,67.209047009
"X13",2012-03-12,115.671997764
"X13",2012-03-13,53.103786395
"X13",2012-03-31,189.218927245
"X13",2012-04-23,69.382830881
"X13",2012-04-26,223.948705981
"X13",2012-05-14,88.874038586
"X13",2012-05-17,29.688115665
"X13",2012-05-24,16.864952155
"X13",2012-05-25,13.511898799
"X13",2012-06-04,347.684446234
"X13",2012-06-23,52.352943904
"X13",2012-06-24,36.113290884
"X13",2012-06-25,199.551986294
"X13",2012-07-12,14.17289849
"X13",2012-09-08,20.36629276
